Designator,Mid X,Mid Y,Layer,Rotation
C1,92.58,28.58,Top,0
C2,92.58,26.29,Top,0
C3,55.88,15.24,Top,90
C4,58.17,15.24,Top,90
C5,46.99,15.24,Top,90
C6,49.4,15.24,Top,90
C7,30.86,44.45,Top,90
C8,35.18,24.13,Top,0
C9,35.81,44.45,Top,90
C10,38.1,44.45,Top,90
C11,6.99,34.29,Top,180
C12,27.81,31.62,Top,270
C13,27.81,35.94,Top,270
C14,82.3,17.53,Top,90
C15,89.92,17.53,Top,90
C16,93.09,18.54,Top,0
C17,13.46,25.53,Top,270
C18,13.46,17.14,Top,270
C19,33.53,5.08,Top,270
D1,12.32,10.67,Top,90
D2,88.52,10.92,Top,90
D3,39.88,5.97,Top,180
D4,32.89,17.4,Top,180
D5,44.58,15.75,Top,90
DZL4734,31.97,9.46,Top,0
IC1,86.11,16.89,Top,0
LED1,32.38,37.34,Top,270
LED2,32.51,33.02,Top,270
LED3,32.51,28.83,Top,270
OK1,20.32,42.67,Top,270
OK2,20.32,33.4,Top,270
OK3,20.32,24.13,Top,90
OK4,20.32,14.86,Top,90
R1,92.71,21.46,Top,0
R2,33.15,44.45,Top,90
R3,13.46,34.93,Top,90
R4,13.46,44.45,Top,90
R5,27.81,40.13,Top,90
R6,27.81,26.8,Top,90
R7,80.14,17.53,Top,90
R8,77.98,17.53,Top,90
R9,62.61,20.32,Top,0
R10,62.74,29.97,Top,0
R11,62.61,25.15,Top,0
R12,74.68,22.86,Top,0
R13,78.87,22.86,Top,0
R14,70.36,22.86,Top,0
R15,27.69,19.43,Top,90
R16,27.56,13.34,Top,90
R17,13.46,21.34,Top,90
R18,13.46,29.72,Top,90
R19,36.58,9.27,Top,0
R20,27.56,9.4,Top,0
R21,28.96,5.08,Top,90
R22,31.24,5.08,Top,90
R23,30.61,37.34,Top,90
R24,30.61,33.15,Top,90
R25,30.61,28.96,Top,90
R26,26.67,5.08,Top,90
R27,60.45,15.24,Top,90
R28,51.69,15.24,Top,90
R29,46.74,11.81,Top,0
R30,40.89,9.27,Top,0
R31,35.18,21.59,Top,0
SJ1,92.71,24,Top,0
SJ2,62.48,22.86,Top,180
SJ3,62.61,27.69,Top,180
T1,30.73,13.21,Top,270
T2,35.18,27.56,Top,270
T3,35.18,36.83,Top,270
T4,35.18,31.75,Top,270
U$1,73.41,34.1,Top,90
U1,49.53,33.99,Top,270
U2,91.19,33.53,Top,270
U3,58.42,7.59,Top,180
U4,48.9,7.47,Top,180
U5,6.99,41.4,Top,180
