Qty,Designator,Footprint,Comment,LCSC Part #,Description
1,LED1,CHIP-LED0603,Yellow,C72038,Yellow LED
1,LED2,CHIP-LED0603,Green,C72043,Green LED
1,LED3,CHIP-LED0603,Blue,C72041,Blue LED
12,"C1, C2, C7, C8, C10, C11, C12, C13, C15, C17, C18, C19",C0805,0.1uF,C696366,"CAPACITOR, European symbol"
8,"R2, R5, R6, R7, R8, R17, R18, R22",R0805,10k,C17414,"RESISTOR, European symbol"
1,C16,C0805,10nF,C1710,"CAPACITOR, European symbol"
5,"C3, C4, C5, C6, C9",C0805,10uF,C15850,"CAPACITOR, European symbol"
1,R1,R0805,120R,C17437,"RESISTOR, European symbol"
5,"R26, R27, R28, R29, R30",R0805,1R,C25271,"RESISTOR, European symbol"
3,"R3, R4, R20",R0805,1k,C17513,"RESISTOR, European symbol"
3,"R23, R24, R25",R0805,220R,C17557,"RESISTOR, European symbol"
1,C14,C0805,2.2nF,C28260,"CAPACITOR, European symbol"
1,R21,R0805,33k,C17633,"RESISTOR, European symbol"
1,R19,R0805,47R,C17714,"RESISTOR, European symbol"
6,"R9, R10, R11, R12, R13, R14",R0805,47k,C17713,"RESISTOR, European symbol"
2,"R15, R16",R0805,560R,C28636,"RESISTOR, European symbol"
1,R31,R0805,6k8,C17772,"RESISTOR, European symbol"
1,U4,SOT223,3.3V LDO,C6186,AMS1117-3.3 800mA and 1A Low Dropout (LDO) Positive Regulator
1,U3,SOT223,5.0V LDO,C6187,AMS1117-5.0 800mA and 1A Low Dropout (LDO) Positive Regulator
1,Z1,SOD-123FL,5.6V Zener,C362311,"Zener Diode, 1W"
1,U1,ESPS32-WROOM-32E,ESP32-WROOM-32E,C701341,ESP32-WROOM-32E module
4,"OK1, OK2, OK3, OK4",DIL6-SMD,H11L1MS,C255762,6-Pin DIP Optocoupler
1,IC1,QFN50P400X400X95-25T265X275N,MPU6050,C24112,Triple Axis 6-DoF Accelerometer/Gyro
4,"T1, T2, T3, T4",SOT23,S8050,C2146,NPN TRANSISTOR
5,"D1, D2, D3, D4, D5",DO-214AC,SS14,C2480,Shottky Diode
1,H1,XUNPU-MICROSD-SOCKET,TF-115,C266620,"Micro SD Card Holder, push-push"
1,U2,SOIC8,TLA1051T/3,C38695,CAN bus transceiver
